Unnamed: 0,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
1032,dilongeshibua,farmation,0.0,neutral,mot,farming,ukulima,boerdery,bolemirui,ukulima,kurima
1033,kukonkola,toquer,0.0,neutral,verbe,knock,dukluza,klop,knock,nkqonkqoza,gogodza
1034,kukalaba,ramper,0.0,neutral,verbe,crawl,gaqa,kruip,gogoba,crawl,kukambaira
1035,kuitaba,decrocher,0.0,neutral,verbe,pick,phakamisa,optel,topa,phakamisa,nhonga
1036,cidicihitakudifuma,resement,0.0,neutral,mot,basement,indawo,resement,sefofane sa go tsooloa,ukuphindaphinda,kuoneka
1038,kujingulula,decouvere,0.0,neutral,verbe,discover,thola,ontdek,utolla,fumanisa,tsvaga
1039,kuibaka,construiction,0.0,neutral,mot,construction,ukwakha,konstruksie,kago,ukwakhiwa,kuvaka
1040,mushimi,source,0.0,neutral,mot,source,umthombo,bron,mothopo,umthombo,kunobva
1041,difutu,salaire,0.0,neutral,mot,salary,umholo,salaris,mogolo,umvuzo,muhoro
1042,manayi,amisement,0.0,neutral,mot,friendship,ubudlelwane,vriendskap,segwera,ubuhlobo,hushamwari
1043,difucila,location,0.0,neutral,mot,rental,ukuqasha,huur,khiriso ya khiro,irente,rental
1044,kuyobola,provoquer,0.0,neutral,verbe,provoke,ukucasula,uit te lok,go hlohleleta,ukucaphukisa,kumutsa
1046,kujamaja,tremousser,0.0,neutral,verbe,jiggle,jithaka isibindi,skud,jiggle,jiggle,jiggle
1047,kunyunga,mouvement,0.0,neutral,mot,movement,ukuzamazama,beweging,mosepelo,intshukumo,kufamba
1048,tulu,sommeil,0.0,neutral,mot,sleep,ukulala,slaap,robala,ukulala,kurara
1049,citanaji,divertisement,0.0,neutral,mot,entertainment,umdlalo,vermaak,boithabio,ukuzonwabisa,varaidzo
1050,nyungilukilu,environnement,0.0,neutral,mot,environment,indawo ezungezile,omgewing,tikologo,okusingqongileyo,nzvimbo
1051,cidicienzeka,foctionnement,0.0,neutral,mot,operation,ukuhlinza,operasie,opareiene,ukusebenza,kuvhiya
1052,cilenga,beau,0.0,neutral,mot,beautiful,bukekayo,pragtig,botse,entle,runako
1053,lupeepepele,vent,0.0,neutral,mot,wind,songa,wind,phefo,umoya,mhepo
1054,cinwinu,verre,0.0,neutral,mot,glass,ekhanyayo,glas,galase,iglasi,girazi
1055,cisalu,vaccin,0.0,neutral,mot,vaccine,umuthi wokugcaba,entstof,moento,isitofu sokugonya,vaccine
1057,kapepelelupepele,air,0.0,neutral,mot,air,umoya,lug,moya,umoya,mhepo
1058,mutshi,arbre,0.0,neutral,mot,tree,isihlahla,boom,mohlare,umthi,muti
1059,mujiluwamashimakunze,artère,0.0,neutral,mot,artery,umthambo wegazi,slagaar,mothapo wa mothapo,ubugcisa,artery
1060,muedimuevu,barbe,0.0,neutral,mot,beard,intshebe,baard,ditedu,iindevu,ndebvu
1061,mutshi,bois,0.0,neutral,mot,drink,phuza,drink,nwa,isiselo,kunwa
1062,mukana,bouche,0.0,neutral,mot,mouth,umlomo,mond,molomo,umlomo,muromo
1063,ditamba,branche,0.0,neutral,mot,branch,igatsha,tak,lekala,isebe,bazi
1064,diboko,bras,0.0,neutral,mot,arm,hlomisa,arm,letsogo,ingalo,ruoko
1065,ditshimadifuima,brouillard,0.0,neutral,mot,fog,inkungu,mis,kgodi,inkungu,fog
1066,bongabwamuntu,cerveau,0.0,neutral,mot,brain,ingqondo,brein,bjoko,ingqondo,uropi
1067,kadilkapia,chaleur,0.0,neutral,mot,heat,ukushisa,verhit,phio,ubushushu,kupisa
1068,lusukikasuki,cheveu,0.0,neutral,mot,hair,uboya,hare,moriri,iinwele,bvudzi
1069,kampombekampombo,cheville,0.0,neutral,mot,ankle,isinqe,enkel,kokoilane,iankle,ankle
1070,diulu,ciel,0.0,neutral,mot,sky,isibhakabhaka,hemel,lefaufau,isibhakabhaka,denga
1071,lukofi,cil,0.0,neutral,mot,eyelash,ukhophe,wimper,eyelash,iliso,eyelash
1072,muoyo,cur,0.0,neutral,mot,heart,inhliziyo,hart,pelo,intliziyo,moyo
1073,mubidimbidi,corps,0.0,neutral,mot,body,umzimba,liggaam,mmele,umzimba,muviri
1075,nshingu,cou,0.0,neutral,mot,neck,intamo,nek,molala,intamo,mutsipa
1076,lukenyibu,coude,0.0,neutral,mot,elbow,indololwane,elmboog,setu,lbow,elbow
1077,dikaludilangi,couleur,0.0,neutral,mot,color,umbala,kleur,mmala,umbala,ruvara
1078,tshibalubalukabalubalu,crâne,0.0,neutral,mot,skull,ithambo lekhanda,skedel,lehata,skill,dehenya
1079,tshibelutshioko,cuisse,0.0,neutral,mot,thigh,ithanga,bobeen,serope,ithanga,chidya
1080,dinu,dent,0.0,neutral,mot,tooth,izinyo,tand,leino,izinyo,zino
1081,tshipepelebutoke,désert,0.0,neutral,mot,desert,hlamuka,woestyn,leganata,intlango,renje
1082,munu,doigt,0.0,neutral,mot,finger,umunwe,vinger,monwana,umnwe,chigunwe
1084,manayi,eau,0.0,neutral,mot,water,nisela,water,meetse,amanzi,mvura
1085,mupenyimukenya,eclair,0.0,neutral,mot,flash,unyampu,flits,gadima,ifleshi,flash
1086,dikayadipeka,epaule,0.0,neutral,mot,shoulder,igxalaba,skouer,legetla,igxalaba,pfudzi
1087,tshifutshifue,estomac,0.0,neutral,mot,stomach,isisu,maag,dimpa,isisu,dumbu
1088,mutoto,etoile,0.0,neutral,mot,star,inkanyezi,ster,naledi,inkanyezi,nyeredzi
1089,tshiamutshifike,fer,0.0,neutral,mot,iron,insimbi yokuayina,yster,aene,intsimbi,simbi
1090,ditakuditengi,fesse,0.0,neutral,mot,buttock,isinqe,boudjie,marago,ibuttock,buttock
1091,dibeji,feuille,0.0,neutral,mot,leaf,ikhasi,blaar,lehlare,amagqabi,mashizha
1092,tshilongo,fleur,0.0,neutral,mot,flower,umqhakazo,blom,letoba,intyatyambo,ruva
1093,musulu,fleuve,0.0,neutral,mot,river,umfula,rivier,noka,umlambo,rwizi
1094,mutshima,foie,0.0,neutral,mot,liver,isibindi,lewer,sebete,isibindi,chiropa
1095,ditu,forêt,0.0,neutral,mot,forest,ihlathi,bos,leoka,ihlathi,sango
1096,mashika,froid,0.0,neutral,verbe,cold,ukubanda,koud,tonya,kubanda,kutonhora
1097,mpala,front,0.0,neutral,mot,forehead,imvelelo,voorkop,phatla,ibunzi,pahuma
1098,muinshimuishi,fumée,0.0,neutral,verbe,smoke,shunqisa,rook,mui,umsi,utsi
1099,tshinu,genou,0.0,neutral,mot,knee,idolo,knie,khuru,idolo,ibvi
1100,maayimakuatakanedibue,glace,0.0,neutral,mot,ice,iqhwa,ys,aese,ice,ice
1101,diminumuminu,gorge,0.0,neutral,mot,throat,umphimbo,keel,mogolo,umqala,pahuro
1102,lukundu,hanche,0.0,neutral,mot,hip,inqulu,heup,noka,hip,hip
1103,tshisosatshilu,herbe,0.0,neutral,mot,grass,isikhotha,gras,bjang,ingca,huswa
1104,nkolotshidilatshitamba,île,0.0,neutral,mot,island,isiqhingi,eiland,sehlakahlaka,isiqithi,island
1105,ditangalaladiamaayi,inondation,0.0,neutral,mot,flood,isikhukhula,vloed,mafula,umkhukula,mafashama
1106,dila,intestin,0.0,neutral,mot,intestine,izibilini,derm,mala,amathumbu,mudumbu
1107,mukolo,jambe,0.0,neutral,mot,leg,umlenze,been,leoto,umlenze,gumbo
1108,ditama,joue,0.0,neutral,verbe,plays,idlala,toneelstukke,dipapadi ta go bapala,imidlalo,anotamba
1109,dijiba,lac,0.0,neutral,mot,lake,ichweba,meer,letsha,ichibi,dziva
1110,ludimi,langue,0.0,neutral,mot,language,ulimi,taal,polelo,ulwimi,mutauro
1111,tshinsonji,larme,0.0,neutral,mot,tear,ukudabula,skeur,gagola,iinyembezi,misodzi
1112,mushiku,lèvre,0.0,neutral,mot,lip,udebe,lip,molomo,imilebe,muromo
1113,munya,lumière,0.0,neutral,mot,light,mhlophe,lig,seeta,ukukhanya,chiedza
1114,muenji,lune,0.0,neutral,mot,moon,inyanga,maan,ngwedi,inyanga,mwedzi
1115,lubanga,mâchoire,0.0,neutral,mot,jaw,umhlathi,kaakbeen,mohlagare,hlathi,shaya
1116,tshianza,main,0.0,neutral,mot,hand,isandla,hand,seatla,isandla,ruoko
1117,tshibanga,menton,0.0,neutral,mot,chin,isilevu,ken,seledu,chin,chin
1118,mbu,mer,0.0,neutral,mot,sea,ulwandle,see,lewatle,ulwandle,gungwa
1121,mumpenya,moustache,0.0,neutral,mot,mustache,amadevu,snor,ditedu,iindevu,ndebvu
1122,musunyidikoyi,muscle,0.0,neutral,mot,muscle,isicubu,spier,moifa,umsipha,tsandanyama
1123,mumpempe,narine,0.0,neutral,mot,nostril,ikhala,neusgat,leobana la nko,impumlo,mhino
1124,bonga,nerf,0.0,neutral,mot,nerve,umuzwa,senuwee,methapo ya kutlo,inerve,nerve
1125,diulu,nez,0.0,neutral,mot,nose,ikhala,neus,nko,impumlo,mhino
1126,muofo,motbril,0.0,neutral,mot,motbril,isimfushane,motbril,motbril,imorbbril,motbril
1127,dikoshi,nuque,0.0,neutral,mot,neck,intamo,nek,molala,intamo,mutsipa
1128,disu,il,0.0,neutral,mot,eye,ihlo,oog,leihlo,iliso,ziso
1129,luzadi,ongle,0.0,neutral,mot,nail,isipikili,spyker,lenala,isipikili,mbambo
1130,ditshi,oreille,0.0,neutral,mot,ear,indlebe,oor,tsebe,indlebe,nzeve
1131,muanawankasa,orteil,0.0,neutral,mot,toe,uqukula,toe,monwana wa leoto,toe,toe
1132,mufuba,os,0.0,neutral,mot,bone,ithambo,been,lerapo,ithambo,pfupa
1133,tshilafinye,paupière,0.0,neutral,mot,eyelid,ijwabu leso,ooglid,lephego la mahlo,ieyelid,eyelid
1134,dikoba,peau,0.0,neutral,mot,skin,isikhumba,vel,letlalo,ulusu,ganda
1135,dikasa,pied,0.0,neutral,mot,foot,unyawo,voet,leoto,inyawo,tsoka
1136,nshinguwadiboko,poignet,0.0,neutral,mot,wrist,isihlakala,pols,letheka,iwrist,wrist
1137,dinkomo,poing,0.0,neutral,mot,fist,inqindi,vuis,seatla sa go swara seatla,inqindi,chibhakera
1138,tshiadi,poitrine,0.0,neutral,mot,chest,ibhokisi,bors,kgara,isifuba,chipfuva
1139,tshiala,pouce,0.0,neutral,mot,thumb,ugquza,duim,monwana o mogolo,isithupha,chigunwe
1140,mujiluudiutaka,pouls,0.0,neutral,mot,pulse,ukushaya komthambo,pols,pulse,pulse,pulse
1141,tshisulusulu,poumon,0.0,neutral,mot,lung,iphaphu,long,maswafo,imiphunga,mapapu
1142,lupuishilusoka,poussière,0.0,neutral,mot,dust,uthuli,stof,lerole,uthuli,guruva
1143,konyikamuma,rein,0.0,neutral,mot,kidney,insonge yasolwandle,nier,pshio,izintso,itsvo
1144,munyengumufudi,ride,0.0,neutral,mot,wrinkled,ehlanganiswe,gerimpeld,wrinkled,icinyiwe,akapwanyika
1145,lutemate,salive,0.0,neutral,mot,saliva,amathe,speeksel,mathe a,amathe,mate
1147,dibele,sein,0.0,neutral,mot,breast,isibele,bors,letswele,ibele,mazamu
1148,dikiki,sourcil,0.0,neutral,mot,eyebrow,ishiya,wenkbrou,eyebrow,iliso,eyebrow
1149,bikoyikoyimifuba,squelette,0.0,neutral,mot,skeleton,uphahla lomzimba,geraamte,lerapo la marapo,ithambo,skeleton
1150,tshisululu,sueur,0.0,neutral,mot,sweat,juluka,sweet,sethitho,ukubila,ziya
1151,tshikankanya,talon,0.0,neutral,mot,heel,isithende,hak,serethe,isithende,chitsitsinho
1152,mujilu,veine,0.0,neutral,mot,vein,umthambo,aar,mothalo,umthambo,vein
1155,mashika,froid,0.0,neutral,mot,cold,ukubanda,koud,tonya,kubanda,kutonhora
1156,muinshimuishi,fumée,0.0,neutral,mot,smoke,shunqisa,rook,mui,umsi,utsi
1157,ditama,joue,0.0,neutral,mot,plays,idlala,toneelstukke,dipapadi ta go bapala,imidlalo,anotamba
1158,lubanga,mâchoire,1.0,postive,mot,jaw,umhlathi,kaakbeen,mohlagare,hlathi,shaya
1159,tshianza,main,1.0,postive,mot,hand,isandla,hand,seatla,isandla,ruoko
1160,tshibanga,menton,1.0,postive,mot,chin,isilevu,ken,seledu,chin,chin
1161,mbu,mer,1.0,postive,mot,sea,ulwandle,see,lewatle,ulwandle,gungwa
1164,mumpenya,moustache,1.0,postive,mot,mustache,amadevu,snor,ditedu,iindevu,ndebvu
1165,musunyidikoyi,muscle,1.0,postive,mot,muscle,isicubu,spier,moifa,umsipha,tsandanyama
1166,mumpempe,narine,1.0,postive,mot,nostril,ikhala,neusgat,leobana la nko,impumlo,mhino
1167,bonga,nerf,1.0,postive,mot,nerve,umuzwa,senuwee,methapo ya kutlo,inerve,nerve
1168,diulu,nez,1.0,postive,mot,nose,ikhala,neus,nko,impumlo,mhino
1169,muofo,motbril,1.0,postive,mot,motbril,isimfushane,motbril,motbril,imorbbril,motbril
1170,dikoshi,nuque,1.0,postive,mot,neck,intamo,nek,molala,intamo,mutsipa
1173,ditshi,oreille,1.0,postive,mot,ear,indlebe,oor,tsebe,indlebe,nzeve
1174,muanawankasa,orteil,1.0,postive,mot,toe,uqukula,toe,monwana wa leoto,toe,toe
1175,mufuba,os,1.0,postive,mot,bone,ithambo,been,lerapo,ithambo,pfupa
1176,tshilafinye,paupière,1.0,postive,mot,eyelid,ijwabu leso,ooglid,lephego la mahlo,ieyelid,eyelid
1177,dikoba,peau,1.0,postive,mot,skin,isikhumba,vel,letlalo,ulusu,ganda
1178,dikasa,pied,1.0,postive,mot,foot,unyawo,voet,leoto,inyawo,tsoka
1179,nshinguwadiboko,poignet,1.0,postive,mot,wrist,isihlakala,pols,letheka,iwrist,wrist
1180,dinkomo,poing,1.0,postive,mot,fist,inqindi,vuis,seatla sa go swara seatla,inqindi,chibhakera
1182,tshiala,pouce,1.0,postive,mot,thumb,ugquza,duim,monwana o mogolo,isithupha,chigunwe
1183,mujiluudiutaka,pouls,1.0,postive,mot,pulse,ukushaya komthambo,pols,pulse,pulse,pulse
1184,tshisulusulu,poumon,1.0,postive,mot,lung,iphaphu,long,maswafo,imiphunga,mapapu
1185,lupuishilusoka,poussière,1.0,postive,mot,dust,uthuli,stof,lerole,uthuli,guruva
1186,konyikamuma,rein,1.0,postive,mot,kidney,insonge yasolwandle,nier,pshio,izintso,itsvo
1187,munyengumufudi,ride,1.0,postive,mot,wrinkled,ehlanganiswe,gerimpeld,wrinkled,icinyiwe,akapwanyika
1188,lutemate,salive,1.0,postive,mot,saliva,amathe,speeksel,mathe a,amathe,mate
1190,dibele,sein,1.0,postive,mot,breast,isibele,bors,letswele,ibele,mazamu
1191,dikiki,sourcil,1.0,postive,mot,eyebrow,ishiya,wenkbrou,eyebrow,iliso,eyebrow
1192,bikoyikoyimifuba,squelette,1.0,postive,mot,skeleton,uphahla lomzimba,geraamte,lerapo la marapo,ithambo,skeleton
1193,tshisululu,sueur,1.0,postive,mot,sweat,juluka,sweet,sethitho,ukubila,ziya
1194,tshikankanya,talon,1.0,postive,mot,heel,isithende,hak,serethe,isithende,chitsitsinho
1195,mujilu,veine,1.0,postive,mot,vein,umthambo,aar,mothalo,umthambo,vein
1198,muji,racine,1.0,postive,mot,root,impande,wortel,modu,ingcambu,midzi
1200,kuja,danser,1.0,postive,verbe,dance,ukudansa,om te dans,go bina,ukudanisa,kutamba
1204,kuyalubilu,fuir,1.0,postive,verbe,flee,baleka,vlug,ngwega,saleke,tiza
1205,kunyingalala,regretter,-1.0,negative,verbe,regret,zisola,spyt,maswabi,ukuzisola,kuzvidemba
1206,kutangalaja,disperser,-1.0,negative,verbe,disperse,hlakaza,versprei,disperse,ukusasazeka,durperse
1207,kuabanya,partager,1.0,postive,verbe,share,abelana,deel,abelana,isabelo,goverana
1209,kuhangila,manque,-1.0,negative,verbe,lack,ukuntula,gebrek,tlhokego,ukunqongophala,kushaya
1211,kukuata,attrapper,1.0,postive,verbe,catch,nqaka,vang,swara,bamba,kubata
1212,kuseka,sourire,1.0,postive,verbe,smile,ukumamatheka,glimlag,myemyela,uncumo,kunyemwerera
1213,kuakaja,corriger,1.0,postive,verbe,correct,ukulungisa,reg te stel,go phoolla,ubulungisa,kururamisa
1214,kuhetulula,recevoir,1.0,postive,verbe,receive,thola,ontvang,amogela,yamkela,gamuchira
1215,kumuanununa,revoir,1.0,postive,verbe,goodbye,hamba kahle,totsiens,ala gabotse,sala kakuhle,sara mushe
1216,kufunda,accuser,-1.0,negative,verbe,accuse,beka icala,beskuldig,latola,isimangalo,kupomera
1217,kutalama,vigilant,1.0,postive,verbe,vigilant,phaphalisa,waaksaam,go phafoga,phaphili,vakasvinura
1219,kubenga,refuser,-1.0,negative,verbe,refuse,ala,weier,gana,inyikima,ramba
1221,kuheta,reception,1.0,postive,verbe,reception,ihhovisi elamukela izivakashi ehhotela,ontvangs,boamogelabaeng,ukwamkelwa,kugamuchira
1223,kuenzabibi,pecher,-1.0,negative,verbe,sin,ona,sonde,sebe,isono,chivi
1224,kuyisha,precher,1.0,postive,verbe,preach,shumayela,prefek,rerella,shumayela,paridza
1226,kusamba,communiquer,1.0,postive,verbe,communicate,tshela,kommunikeer,kgokagana,nxibelelana,tauriranai
1227,kuhecha,offrir,1.0,postive,verbe,offer,ukunikela,te bied,go fana ka tlhagiso,ukunikeza,kupa
1228,kunyingalaja,offenser,1.0,postive,verbe,offend,ona,aanstoot gee,go kgopia,khubekisa,kugumbura
1229,kumbuka,quitter,-1.0,negative,verbe,leave,ukuhamba,om te vertrek,go tloga,ukuhamba,kusiya
1231,kozola,dessiner,1.0,postive,verbe,draw,dweba,teken,thala,zoba,dhirowa
1232,bubanji,richesse,1.0,postive,mot,wealth,ingcebo,rykdom,lehumo,ubutyebi,pfuma
1234,lukinu,haine,-1.0,negative,mot,hate,ukuzonda,haat,hloya,intiyo,kuvenga
1235,ciji,mechant,-1.0,negative,mot,wicked,bi,goddelose,bokgopo,ongendawo,wakaipa
1236,kutuma,envoyer,1.0,postive,verbe,send,thuma,stuur,romela,thumela,tumira
1237,kuambulula,repeter,1.0,postive,verbe,repeat,phinda,herhaal,bueleta,phinda,dzokorora
1238,kusokoka,cacher,-1.0,negative,verbe,hide,bhaca,wegsteek,fihla,fihla,kuvanda
1239,kuleja,exposer,1.0,postive,verbe,expose,dlula,blootlê,bonagata,chaza,kufumura
1240,nkuasa,chaise,1.0,postive,verbe,chair,isihlalo,stoel,setulo,isitulo,chigaro
1241,katambua,tabourer,1.0,postive,mot,plow,hlakula,ploeg,mogoma,ukulima,kurima
1242,kukola,grandir,1.0,postive,verbe,grow,thuthuka,groei,gola,ukukhula,kukura
1243,kupueka,desandre,1.0,postive,verbe,deandre,iderande,desandre,desandre,idedredre,desandre
1244,kualukila,reguler,1.0,postive,verbe,regulate,beka umthetho wenqubo,reguleer,laola,hlawula,dzora
1245,meji,sagesse,1.0,postive,mot,wisdom,ubuhlakani,wysheid,bohlale,ubulumko,uchenjeri
1246,dinanga,amour,1.0,postive,mot,love,thanda,liefde,lerato,uthando,rudo
1247,lungenji,intelligence,1.0,postive,mot,intelligence,ubuhlakani,intelligensie,bohlodi,ubukrelekrele,kungwara
1249,cibuta,sac,1.0,postive,mot,bag,isikhwama,sak,mokotla,ibhegi,bhegi
1250,citendelelu,eglise,1.0,postive,mot,church,isonto,kerk,kereke,icawe,chechi
1251,lumuenu,miroir,1.0,postive,mot,mirror,isibuko,spieël,seipone,isibuko,girazi
1252,kulombola,diriger,1.0,postive,verbe,direct,qondisa,direk,lebia,ngqo,zvakananga
1253,kutela,proclamer,1.0,postive,verbe,proclaim,memezela,verkondig,tsebang phatlalata,vakalisa,daidzirai
1254,kukumbaja,ajouter,2.0,postive,verbe,add,enezelela,byvoeg,hlakanya,yongeza,wedzera
1255,kuheja,saboter,-1.0,negative,verbe,sabotaged,ukuketula,sabotasie,sabotaged,isabotage,sabotage
1256,kulongolola,preparer,2.0,postive,verbe,prepare,lungiselela,voorberei,beakanya,lungiselela,gadzirira
1257,kuinyika,motmer,1.0,postive,verbe,motmer,umhumushi,motmer,motmer,umzobo,motmer
1258,kuiba,voler,0.0,neutral,verbe,fly,ndiza,vlieg,fofa,bhabha,bhururuka
1259,kuangatulula,reprendre,1.0,postive,verbe,resume,ukuqhubeka kabusha,te hervat,go thoma gape,ukuphinda uqalise,kutangazve
1260,terminer,finir,1.0,postive,verbe,finish,pheza,klaarmaak,feta,gqiba,kupedzisa
1261,cilongelu,ecole,2.0,postive,mot,school,isikole,skool,sekolo,isikolo,chikoro
1263,kukehecha,diminuer,-1.0,negative,verbe,decrease,nciphisa,afneem,fokota,ukwehla,kuderera
1264,kuambula,transporter,1.0,postive,verbe,carry,thwala,dra,rwala,phatha,takura
1265,machinyi,vehucule,1.0,postive,mot,vehicle,into yokuhamba,voertuig,senamelwa,imoto,mota
1266,kusambuka,traverser,1.0,postive,verbe,cross,ukuwela,om oor te steek,go tshela,ukuwela,kuyambuka
1267,cilamba,pont,1.0,postive,mot,bridge,ibhuloho,brug,leporogo,ibhulorho,bhiriji
1268,kuikila,atterir,1.0,positive,verbe,land,izwe,grond,naga,umhlaba,ivhu
1269,cisumbu,groupe,1.0,postive,mot,band,isibopho,band,lepanta,band,bhendi
1271,mukandawanzambi,bible,1.0,postive,mot,bible,ibhayibheli,bybel,beibele,ibhayibhile,bhaibheri
1272,kusangisha,ransembler,1.0,postive,verbe,gather,hlangana,versamel,kgoboketa,uqokelela,unganidza
1273,kuakaja,nettoyer,1.0,postive,verbe,clean,ukucoca,om skoon te maak,go hlwekia,ukucoca,kuchenesa
1275,kubusha,enlever,1.0,postive,verbe,remove,ukususa,te verwyder,go tlosa,ukususa,kubvisa
1276,kuvuala,porter,1.0,postive,verbe,carry,ukuthwala,te dra,go rwala,ukubamba,kutakura
1279,kushituluka,changer,1.0,postive,verbe,change,ukushintsha,te verander,go fetoga,ukutshintsha,kuchinja
1287,kulonga,étudier,1.0,postive,verbe,study,ozokufunda,om te studeer,go ithuta,ukufunda,kudzidza
1289,kuteleja,écouter,1.0,postive,verbe,listen,beka indlebe,luister,theeleta,mamela,teerera
1291,kufunda,écrire,1.0,postive,verbe,write,ukubhala,om te skryf,go ngwala,ukubhala,kunyora
1293,kuenda,marcher,0.0,neutral,verbe,walk,ukuhamba,om te loop,go sepela,ukuhamba,kufamba
1294,kutumpika,sauter,1.0,postive,verbe,jump,gxuma,spring,tshela,xhuma,kusvetuka
1297,nshinga,file,1.0,postive,mot,file,ifayili,lêer,faele,ifayile,faira
1298,kubuka,voyager,1.0,postive,verbe,travel,uuku ngcebeleka,om te reis,go sepela,ukuhamba,kufamba
1299,kubabidila,prévoir,0.0,neutral,verbe,expect,ukulindela,om te verwag,go letela,ukulindela,kutarisira
1300,kujidila,attendre,1.0,postive,verbe,wait,ukulinda,om te wag,go leta,ukulinda,kumirira
1301,kuakidila,embrasser,1.0,postive,verbe,kiss,ukuqabula,om te soen,go atlana,ukwanga,kutsvoda
1302,kusela,épouser,1.0,postive,verbe,marry,gcagca,trou,nyala,tshata,roora
1303,kuendesha,conduire,1.0,postive,verbe,drive,ukushayela,om te bestuur,go otlela,ukuqhuba,kutyaira
1304,tshibuta,sac,1.0,postive,mot,bag,isikhwama,sak,mokotla,ibhegi,bhegi
1305,kuloba,pêcher,1.0,postive,verbe,sin,ona,sonde,sebe,isono,chivi
1306,kulota,rêver,1.0,postive,verbe,dream,iphupha,droom,toro,iphupha,kurota
1307,kuindila,attendre,1.0,postive,verbe,wait,ukulinda,om te wag,go leta,ukulinda,kumirira
1309,kuakidila,recevoir,1.0,postive,verbe,receive,thola,ontvang,amogela,yamkela,gamuchira
1315,kusomba,louer,1.0,postive,verbe,rent,ukuqasha,om uit te verhuur,go hira,ukuqesha ngaphandle,kubvarura
1316,kubandisha,enlever,1.0,postive,verbe,raise,phakamisa,verhoog,godia,phakamisa,simudza
1319,kuya,partir,1.0,postive,verbe,leave,shiya,los,tloga,shiya,zivisa
1320,kualukila,rentrer,1.0,postive,verbe,return,ukubuya,om terug te keer,go boela morago,ukubuya,kudzoka
1322,kuangula,découvrir,1.0,postive,verbe,discover,thola,ontdek,utolla,fumanisa,tsvaga
1323,kufuka,inventer,1.0,postive,verbe,invent,enzaka,uitvind,hlama,yila,gadzira
1325,kabubula,détruire,-1.0,negative,verbe,destroy,bulala,vernietig,senya,utshabalalisa,paradza
1326,kukosa,chasser,-1.0,negative,verbe,break,uzophula,om te breek,go thuba,ukwephula,kupusa
1327,kukepesha,réduire,-1.0,negative,verbe,reduce,phungula,verminder,fokota,ukunciphisa,kuderedza
1328,kunvua,comprendre,1.0,postive,verbe,understand,ukuqondisisa,om te verstaan,go kweia,ukuqonda,kunzwisisa
1329,kulonga,apprendre,1.0,neutral,verbe,learn,funda,leer,ithuta,funda,dzidza
1330,kulongesha,enseigner,1.0,postive,verbe,teach,fundisa,leer,ruta,fundisa,dzidzisa
1331,kelesha,proposer,1.0,postive,verbe,propose,ukuphakamisa,om voor te stel,go iinya,ukuphakama,kuraira
1333,kusungula,choisir,1.0,postive,verbe,choose,qoka,kies,kgetha,khetha,sarudza
1334,kuva,écouter,1.0,postive,verbe,listen,beka indlebe,luister,theeleta,mamela,teerera
1335,kumona,observer,1.0,postive,verbe,observe,phawula,neem waar,lemoga,qaphela,cherechedza
1336,kuelalungenyi,réfléchir,1.0,postive,verbe,reflect,ukucabanga ngakho,om oor na te dink,go naganiia ka,ukucingisisa,kufungisisa
1337,kudikonkoloja,méditer,0.0,neutral,verbe,meditate,cabanga ujule,mediteer,naganiia,camngca,kufungisisa
1338,mutelu,chémise,1.0,postive,verbe,shirt,ihembe,hemp,gempe,ihempe,shirt
1339,makasa,pieds,1.0,postive,verbe,feet,amale,voete,maoto,iinyawo,tsoka
1340,kutekemena,espérer,1.0,postive,verbe,hope,ithemba,hoop,kholofelo,ithemba,tariro
1343,kukenya,rire,1.0,postive,verbe,laugh,gigitheka,lag,sega,hleka,kuseka
1344,kuelalubila,écrier,1.0,postive,verbe,shout,memeza,skree,goeleta,khwaza,pururudza
1345,kunungana,chuchoter,-1.0,negative,verbe,whisper,nyenyeza,fluister,hwenahwena,whisper,whisper
1346,kumanisha,communiquer,1.0,postive,verbe,communicate,tshela,kommunikeer,kgokagana,nxibelelana,tauriranai
1347,kuvuija,expliquer,1.0,postive,verbe,explain,chasisa,verduidelik,hlaloa,chaza,tsanangura
1348,kutumbisha,célébrer,1.0,postive,verbe,celebrate,gubha,vier,keteka,bhiyozela,pemberera
1349,kututabikashi,applaudir,1.0,postive,verbe,applaud,hlalisa,applous,go opa diatla,iapplaud,zvirongwa
1350,kuitaba,supporter,1.0,postive,verbe,support,singatha,ondersteuning,thekga,inkxaso,tsigiro
1351,kubenga,contester,1.0,postive,verbe,challenge,cela,uitdaging,tlhotlo,umngeni,dambudziko
1352,kuditshipa,jurer,2.0,postive,verbe,swear,thuka,sweer,ikana,ukufunga,kupika
1356,suki,cheveux,2.0,postive,mot,hair,uboya,hare,moriri,iinwele,bvudzi
1358,kuepuka,eviter,1.0,postive,verbe,avoid,xwaya,vermy,efoga,kunqande,dzivisa
1360,kuelamoyi,saluer,0.0,neutral,verbe,greet,thakazela,groet,dumedia,ubulisa,kukwazisa
1361,kukelesha,encourager,1.0,postive,verbe,encourage,khuthaza,moedig aan,hlohleleta,khuthaza,kurudzira
1362,kukoleshangala,consoler,1.0,postive,verbe,console,ikhonsoli,konsole,console,ikhonkco,console
1364,kuadamuna,réagir,1.0,postive,verbe,react,phendula,reageer,react,phendula,ita
1365,suki,cheveux,1.0,postive,mot,hair,uboya,hare,moriri,iinwele,bvudzi
