,CILUBA,French,Score,Sentiment,Nature,English,Zulu,Afrikaans,Sepedi,Xhosa,Shona
816,tshibangishilu,commencement,1.0,postive,Verbe,beginning,ukuqala,begin,mathomong,ukuqala,kutanga
817,lutulu,patience,1.0,postive,Mot,patience,ukubekezela,geduld,boiketlo,umonde,kutsungirira
818,nkurusa,croix,1.0,postive,Mot,cross,inkathazo,kruis,sefapano,umnqamlezo,Muchinjiko
819,diampa,pain,1.0,postive,Mot,bread,isinkwa,brood,borotho,isonka,chingwa
820,mvinyo,vigne,1.0,postive,Verbe,vine,isithombe esithandelayo,wingerdstok,Morara .,umdiliya,muzambiringa
821,bulela,verite,1.0,postive,Verbe,truth,iqiniso,waarheid,bonnete,inyani,Chokwadi
822,kuimba,chanter,1.0,postive,Verbe,sing,cula,sing,opela,cula,imba
823,bowa,peur,1.0,postive,Verbe,fear,ukwesaba,vrees,tšhoga,uloyiko,kutya
824,kanemu,respect,1.0,postive,Verbe,respect,hlonipha,respek,hlompha,imbeko,Remekedza
825,dinanga,amour,1.0,postive,Mot,love,thanda,liefde,lerato,uthando,rudo
826,mudimu,emploi,1.0,postive,Mot,job,umsebenzi,werk,mošomo,umsebenzi,Jobho
827,kukuna,planter,1.0,postive,Verbe,plant,tshala,plant,semela,tyala,chirimwa
828,muntu,tete,1.0,postive,Mot,head,ikhanda,kop,hlogo,intloko,musoro
829,diboku,bras,1.0,postive,Mot,arm,hlomisa,arm,letsogo,ingalo,ruoko
830,nzubu,maison,1.0,postive,Mot,House,Indlu,Huis,Ntlo,Indlu,Imba
831,butaka,sexe,1.0,postive,Mot,sex,ubulili,seks,Thobalano .,isondo,Bonde
832,kuenda,marcher,1.0,postive,Verbe,to walk,ukuhamba,te loop,Go sepela .,ukuhamba,kufamba
833,kuitaba,croire,1.0,postive,Verbe,believe,kholelwa,glo,dumela,kholwa,tenda
834,luteta,graine,1.0,postive,Mot,seed,inhlwanyelo,saad,peu,imbewu,Mbeu
835,lusenga,sable,1.0,postive,Mot,sand,isihlabathi,sand,santa,isanti,jecha
836,mashi,sang,1.0,postive,Mot,blood,igazi,bloed,madi,igazi,Ropa
837,lukutu,cuilliere,1.0,postive,Mot,spoon,isipuni,lepel,lelepola,isipuni,chipunu
838,tshiadi,pointrine,1.0,postive,Mot,pointrine,pointrine,pointrine,Sešupo sa go šupa .,iqhinga,pointrine
839,bijitu,poid,1.0,postive,Mot,weight,isisindo,gewig,boima,ubunzima,uremu
840,dilomba,demande,1.0,postive,Verbe,request,nxusa,versoek,kgopelo,isicelo,Chikumbiro
841,ditekemena,esparance,1.0,postive,Mot,space,ibanga,spasie,sekgoba,indawo,nzvimbo
842,dianyisha,admirer,1.0,postive,Verbe,admire,thanda,bewonder,kgahlega,vuma,admire
843,dilolo,soir,1.0,postive,Mot,evening,kusihlwa,aand,mantšiboa,ngokuhlwa,manheru
844,mukuna,montagne,1.0,postive,Mot,mountain,intaba,berg,thaba,intaba,Gomo
845,makuta,argent,1.0,postive,Mot,money,imali,geld,tšhelete,imali,mari
846,tshiama,fer,1.0,postive,Mot,iron,insimbi yoku-ayina,yster,aene,intsimbi,simbi
847,mudilu,feu,1.0,postive,Mot,fire,shisa,vuur,mollo,umlilo,moto
848,kusuba,acheter,1.0,postive,Verbe,buy,thenga,koop,reka,Thenga,tenga
849,kulela,acoucher,1.0,postive,Verbe,give birth,zala,geboorte gee,go belega .,zala,zvara
850,kupangila,rater,-4.0,negative,Verbe,miss,khumbula,mis,fetilwe,phosa,kupotsa
851,kudiata,pietuner,-2.0,negative,Verbe,pietuner,ingqungutela,pietuner,Pietuner .,pietunger,pietuner
852,kudinga,mentir,-4.0,negative,Verbe,lie,ginqika,lieg,maaka,ubuxoki,kunyepa
853,buloba,terre,4.0,postive,Mot,earth,inhlabathi,aarde,lefase,Umhlaba,Pasi
854,kabala,lire,4.0,postive,Verbe,read,funda,lees,bala,funda,verenga
855,kuinama,incliner,4.0,postive,Verbe,tilt,tsheka,kantel,Sekamane .,tella,tha
856,kupuekesha,baisser,-4.0,negative,Verbe,lower,shonisa,laer,fasana,isezantsi,kuderera
857,kushima,nier,-5.0,negative,Verbe,deny,phika,ontken,gana,kuyakhanyela,ramba
858,buteketa,faiblesse,-7.0,negative,Verbe,weakness,ubuthaka,swakheid,bofokodi,ubuthathaka,kushaya simba
859,kulambula,offrir,3.0,postive,Verbe,to offer,ukunikela,aan te bied,go fana ka tlhagiso .,ukunikeza,kupa
860,kulombola,dirger,3.0,postive,Verbe,lead,hola,lei,eta pele,khokelela,tungamira
861,kuambula,transporter,3.0,postive,Mot,carry,thwala,dra,rwala,phatha,takura
862,kuiba,voler,-7.0,negative,Verbe,fly,ndiza,vlieg,fofa,bhabha,bhururuka
863,kupana,vendre,-1.0,negative,Verbe,sell,thengisa,verkoop,rekiša,thengisa,tengesa
864,mashinyi,vehicule,1.0,postive,Mot,vehicle,into yokuhamba,voertuig,senamelwa,imoto,mota
865,kulenga,toucher,1.0,postive,Verbe,to touch,Ukuthinta,aan te raak,Go kgoma .,ukuchukumisa,kubata
866,kuambulula,repeter,1.0,postive,Verbe,repeat,phinda,herhaal,bušeletša,phinda,dzokorora
867,kudila,pleurer,1.0,postive,Verbe,cry,memeza,huil,lla,khala,kuchema
868,mvula,pluie,1.0,postive,Mot,rain,imvula,reën,pula,imvula,Kunaya
869,tshimanu,mur,1.0,postive,Mot,wall,udonga,muur,leboto,udonga,Wall
870,ditumba,coin,1.0,postive,Mot,corner,ingosi,hoek,sekhutlo,kwikona,kona
871,tshibenda,courbure,1.0,postive,Mot,curvature,cunuture,kromming,Go kobega .,i-curvature,curvature
872,mulangi,bouteille,1.0,postive,Mot,bottle,ibhodlela,bottel,lebotlelo,ibhotile,bhodhoro
873,nzolu,poule,1.0,postive,Mot,chicken,inyama yenkukhu,hoender,nama ya kgogo,inkukhu,huku
874,kuseka,sourire,1.0,postive,Verbe,smile,ukumamatheka,glimlag,myemyela,uncumo,kunyemwerera
875,kabanya,partager,1.0,postive,Verbe,share,abelana,deel,abelana,isabelo,Goverana
876,kubenesha,benir,1.0,postive,Verbe,bless,busisa,seën,šegofatša,zisikelele,Komborera
877,kunanga,aimer,1.0,postive,Verbe,to like,uzothanda,te hou,go rata .,ukuthanda,kuda
878,lutatu,peine,1.0,postive,Mot,penalty,inhlawulo,straf,Kotlo .,isohlwayo,chirango
879,kela,couteau,1.0,postive,Mot,knife,igotshwa,mes,thipa,isitshixo,banga
880,dibaya,planche,1.0,postive,Mot,plank,iplank,plank,Lepolanka .,iplanga,Plank
881,cilamba,pagne,1.0,postive,Mot,loincloth,i-loincloth,lendelap,Lešela la letheka .,i-lourceth,Loincloth
882,makala,braise,1.0,postive,Mot,braised,-bonakala,gesmoor,E betlilwe ka braised .,qhalazwe,braising
883,lukinu,heine,1.0,postive,Verbe,eh,eh,eh,Eh .,eh,eh
884,luse,pardon,1.0,postive,Verbe,pardon,xolela,verskoning,tshwarelo,uxolelo,kuregerera
885,disanga,joie,1.0,postive,Verbe,joy,injabulo,vreugde,boipshino,uvuyo,Mufaro
886,nyota,soif,1.0,postive,Verbe,thirsty,-omile,dors,nyorilwe,unxaniwe,nyota
887,musoko,village,1.0,postive,Mot,village,umuzi,dorpie,motse,ilali,musha
888,bungi,beaucoup,0.0,neutral,Mot,a lot,okuningi,baie,kudu,Okuninzi,zvakawanda
889,muaku,parole,2.0,postive,Mot,speech,intshumayelo,toespraak,polelo,intetho,Kutaura
890,nzubu,maison,2.0,postive,Mot,House,Indlu,Huis,Ntlo,Indlu,Imba
891,butoke,lumiere,2.0,postive,Mot,light,-mhlophe,lig,seetša,ukukhanya,Chiedza
892,midima,tenebres,2.0,postive,Mot,darkness,ubumnyama,duisternis,Lefsifsi .,ubumnyama,rima
893,bulelela,verite,2.0,postive,Mot,truth,iqiniso,waarheid,bonnete,inyani,Chokwadi
894,moyi,cœur,2.0,postive,Mot,heart,inhliziyo,hart,pelo,Intliziyo,moyo
895,kumanya,connaittre,2.0,postive,Verbe,know,bona,weet,tseba,yazi,ziva
896,lumu,gloire,2.0,postive,Mot,glory,ubukhosi,glorie,Kgalalelo .,uzuko,kubwinya
897,mukenji,loi,2.0,postive,Mot,law,umthetho,wet,molao,umthetho,mutemo
898,ngasa,grace,2.0,postive,Mot,grace,umusa,genade,Mohau .,ubabalo,Nyasha
899,mukoko,brebis,2.0,postive,Mot,sheep,imvu,skape,nku,iigusha,gwai
900,dituku,jour,2.0,postive,Mot,day,usuku,dag,letšatši,usuku,zuva
901,ngombe,bœuf,2.0,postive,Mot,beef,inyama yenkomo,beesvleis,nama ya kgomo,inyama yenkomo,nyama yemombe
902,diiyi,œuf,2.0,postive,Mot,egg,iqanda,eier,lee,iqanda,zai
903,cinu,mortier,2.0,postive,Mot,mortar,isigqulo,mortel,Sekontiri .,udaka,dhaka
904,muinshi,pilon,2.0,postive,Mot,pestle,nguonyana,stamper,Pestle .,i-pestle,pestle
905,bukola,force,2.0,postive,Mot,strength,izithukuthuku,sterkte,maatla,amandla,Simba
906,bukenga,bougie,2.0,postive,Mot,candle,ikhandlela,kers,Kerese .,ikhandlela,kenduru
907,diulu,ciel,2.0,postive,Mot,sky,isibhakabhaka,lug,lefaufau,isibhakabhaka,Denga
908,buloba,terre,2.0,postive,Mot,earth,inhlabathi,aarde,lefase,Umhlaba,Pasi
909,bulengela,bonte,2.0,postive,Mot,goodness,ukulunga,goedheid,Botho .,ukulunga,Kunaka
910,ditekemena,espoir,2.0,postive,Verbe,hope,ithemba,hoop,kholofelo,Ithemba,Tariro
911,matshi,oreille,2.0,postive,Mot,ear,indlebe,oor,tsebe,indlebe,nzeve
912,diboku,bras,2.0,postive,Mot,arm,hlomisa,arm,letsogo,ingalo,ruoko
913,mukolu,jambe,2.0,postive,Mot,leg,umlenze,been,leoto,umlenze,gumbo
914,nsuki,cheveux,2.0,postive,Mot,hair,uboya,hare,moriri,iinwele,bvudzi
915,mutelu,chemise,2.0,postive,Mot,shirt,ihembe,hemp,gempe,ihempe,Shirt
916,mapapa,babouche,2.0,postive,Mot,slipper,ihlibhisi,pantoffel,Seeta sa go thelela .,tyibilika,slipper
917,mesa,table,2.0,postive,Mot,table,itafula,tafel,tafola,itafile,Tafura
918,diakabi,malheur,2.0,postive,Mot,misfortune,-nenhliziyo,ongeluk,Madimabe .,intlekele,zvakashata
919,kanyinganyinga,regret,2.0,postive,Verbe,regret,zisola,spyt,maswabi,ukuzisola,kuzvidemba
920,kaheja,mepris,2.0,postive,Verbe,contempt,ukudelela,minagting,lenyatšo,ukudelela,kuzvidza
921,lutambishi,orgueil,2.0,postive,Verbe,pride,ukuziqhenya,trots,boitumelo,ikratshi,kudada
922,bumuntu,dignite,2.0,postive,Mot,dignity,isithunzi,waardigheid,seriti,isidima,Kukudzwa
923,vinta,guerre,2.0,postive,Mot,war,ukulwa,oorlog,ntwa,imfazwe,Hondo
924,lulamatu,attachement,2.0,postive,Verbe,attachment,ukwengeza,aanhangsel,sekgomaretšwa,ukunamathisela,kubatanidzwa
925,makanda,force,2.0,postive,Mot,strength,izithukuthuku,sterkte,maatla,amandla,Simba
926,dibungama,tristesse,-3.0,negative,Verbe,sadness,ukudabuka,hartseer,manyami a go nyama .,usizi,kusuwa
927,tshinji,colere,-4.0,negative,Verbe,anger,intukuthelo,woede,pefelo,umsindo,kutsamwa
928,diakalenga,heureux,5.0,postive,Mot,happy,-eneme,gelukkig,thabile,ndonwabile,kufara
929,nzala,faim,-1.0,negative,Verbe,hunger,iphango,honger,Tlala .,indlala,nzara
930,buakana,justice,4.0,postive,Mot,justice,ubulungiswa,geregtigheid,toka,ubulungisa,Kururamisira
931,mutoke,pur,4.0,postive,Mot,pure,-nalutho,suiwer,hlwekile,icocekile,yakachena
932,ditalala,paix,4.0,postive,Mot,peace,ukuthula,vrede,khutšo,uxolo,Runyararo
933,kupenda,insulter,-6.0,negative,Mot,insult,eyisa,belediging,maroga,ukuthuka,kutuka
934,kushima,mentir,-1.0,negative,Verbe,lie,ginqika,lieg,maaka,ubuxoki,kunyepa
935,kulomba,demander,3.0,postive,Verbe,ask,buza,vra,kgopela,buza,bvunza
936,kulamba,preparer,3.0,postive,Verbe,prepare,lungiselela,voorberei,beakanya,lungiselela,gadzirira
937,kulu,sommet,3.0,postive,Mot,summit,isiqongo,beraad,sehloa,ingqungquthela,Summit
938,muendu,lampe,3.0,postive,Mot,lamp,ilambu,lamp,lebone,isibane,Rambi
939,butumbi,gloire,3.0,postive,Mot,glory,ubukhosi,glorie,Kgalalelo .,uzuko,kubwinya
940,lupingu,statue,3.0,postive,Mot,statue,isifanekiso,standbeeld,sehlwaseeme,umfanekiso,chifananidzo
941,muishi,flame,3.0,postive,Mot,flame,ilangabi,vlam,Kgabo .,idangatye,murazvo
942,mala,alcool,3.0,postive,Mot,alcohol,utshwala,alkohol,alkhoholo,utywala,Doro
943,dibua,pierre,3.0,postive,Mot,rock,itshe elikhulu,rots,letlapa,iliwa,Dombo
944,dilata,tole,3.0,postive,Mot,sheet metal,ishidi yensimbi,plaatmetaal,Tšhipi ya letlakala .,I-SHICHE SETY,simbi yesimbi
945,njila,route,3.0,postive,Mot,road,umgwaqo,pad,tsela,indlela,mugwagwa
946,lumuenu,armoire,3.0,postive,Mot,cupboard,ikhabethe,kas,khatepote,ikhabhathi,mukombe
947,tshilaamba,pont,3.0,postive,Mot,bridge,ibhuloho,brug,leporogo,ibhulorho,bhiriji
948,kunyema,courir,3.0,postive,Verbe,run,gijima,hardloop,kitima,baleka,kumhanya
949,kunaya,jouer,3.0,postive,Verbe,play,dlala,speel,raloka,dlala,Tamba
950,kudila,pleurer,-4.0,negative,Verbe,cry,memeza,huil,lla,khala,kuchema
951,kuakula,parler,1.0,postive,Verbe,talk,shumayela,praat,bolela,thetha,Taura
952,kujadika,affirmer,1.0,postive,Verbe,affirm,nyanisa,bevestig,Tiiša .,qinisekisa,simbisa
953,kulaya,promettre,1.0,postive,Verbe,promise,thembisa,belofte,tshephišo,isithembiso,Vimbiso
954,kuadamuna,repondre,1.0,postive,Verbe,answer,impendulo,antwoord,karabo,Impendulo,Mhinduro
955,kudia,manger,1.0,postive,Verbe,eat,-dla,eet,ja,yitya,idya
956,kunua,boire,1.0,postive,Verbe,drink,phuza,drink,nwa,isiselo,kunwa
957,kudiata,pietiner,1.0,postive,Verbe,trample,swayela,vertrap,Kgatelelo ya madi .,inyanya,Tsika
958,kusungula,choisir,1.0,postive,Verbe,choose,qoka,kies,kgetha,khetha,sarudza
959,tshiibi,porte,1.0,postive,Verbe,door,isicabha,deur,monyako .,umnyango,gonhi
960,kufila,donner,1.0,postive,Verbe,give,khangeza,gee,fa,nika,ipa
961,kuangata,recevoir,1.0,postive,Verbe,receive,thola,ontvang,amogela,yamkela,gamuchira
962,kufuka,créer,1.0,postive,Verbe,create,dala,skep,hlama,dala,gadzira
963,binsonji,larme,1.0,postive,Mot,tear,ukudabula,skeur,gagola,iinyembezi,misodzi
964,kujamaja,danser,1.0,postive,Verbe,to dance,ukudansa,om te dans,go bina .,ukudanisa,kutamba
965,kuyahamuaba,partir,1.0,postive,Verbe,leave,shiya,verlaat,tloga,shiya,zivisa
966,kulua,viens,1.0,postive,Mot,come,woza,kom,tla,yiza,huya
967,bishi,comment,1.0,postive,Mot,how,Kanjani,hoe,bjang,Njani,sei
968,difikadilenga,bienvenu,1.0,postive,Mot,welcome,ukuthakaselwa,welkom,le amogetšwe,Wamkelekile,Mauya
969,bubi,mauvais,-4.0,negative,Mot,bad,-ngalungile,sleg,mpe,kubi,zvakaipa
970,kunua,boire,-1.0,negative,Verbe,drink,phuza,drink,nwa,isiselo,kunwa
971,kutuladifu,avorter,-4.0,negative,Verbe,abort,shiya amanzi,aborteer,mpa ya mpa .,ukulahla,kubvisa
972,kuenzacintu,créer,6.0,postive,Verbe,create,dala,skep,hlama,dala,gadzira
973,kusasa,fleterisse,6.0,postive,Mot,fletisse,ifushalafu,fletisse,FLETISSE .,I-FLIISSE,Bletisse
974,kuelamenji,pensee,6.0,postive,Verbe,thought,umcabango,gedink,kgopolo,ingcinga,kufunga
975,bunkolotu,increduliter,6.0,postive,Verbe,disbelieve,disbelieve,nie glo nie,Go se dumele .,ukungakholelwa,kusatenda
976,mbangishilu,commencer,6.0,postive,Verbe,to start,ukuqala,te begin,Go thoma .,ukuqala,kutanga
977,kijikija,fin,6.0,postive,Mot,END,Ukugcina,EINDE,MAFELELO,ISIPHELO,Kupera
978,kuibacintu,derober,6.0,postive,Verbe,steal,ntshontsha,steel,utswa,ukuba,kuba
979,karereji,snober,6.0,postive,Verbe,snub,ithanga,snuif,Snub .,i-snub,snub
980,kuabanyangana,partager,6.0,postive,Verbe,share,abelana,deel,abelana,isabelo,Goverana
981,kufila,donner,6.0,postive,Verbe,give,khangeza,gee,fa,nika,ipa
982,kujinga,desire,6.0,postive,Verbe,desire,fisa,begeerte,kganyogo,umnqweno,chishuwo
983,kunshintuluka,changer,6.0,postive,Verbe,to change,ukushintsha,te verander,go fetoga .,ukutshintsha,kuchinja
984,kudisha,nourire,6.0,postive,Verbe,feed,idili,voer,fepa,yondla,kudyisa
985,kushebeya,tuer,-2.0,negative,Verbe,kill,bulala,doodmaak,bolaya,bulala,kuuraya
986,tshikisu,mechant,3.0,postive,Verbe,wicked,-bi,goddelose,bokgopo,ongendawo,Wakaipa
987,dijinga,volonter,3.0,postive,Mot,will,isifiso,sal,tla,iya,kuda
988,kutumikila,obeir,3.0,postive,Verbe,obey,thobela,gehoorsaam,obamela,thobela,Teerera
989,lulamantu,fidelite,3.0,postive,Verbe,loyalty,ukuba neqiniso,lojaliteit,botshepegi,ukuthembeka,Kuvimbika
990,kulamata,atacher,3.0,postive,Verbe,attach,hlanganisa,heg,kgomaretša,qhoboshela,batanidza
991,kuiba,voler,-5.0,negative,Verbe,fly,ndiza,vlieg,fofa,bhabha,bhururuka
992,kukenga,soufrire,-4.0,negative,Verbe,sulfur,isibabule,swael,Sulphur .,isalfure,Sarufa
993,kukulakaja,veillire,1.0,postive,Mot,wake up,Vuka,wakker word,tsoga,Vuka,muka
994,pidiewu,bientôt,1.0,postive,Mot,Soon,Ngokushesha,Binnekort,Ka pela,Kungekudala,Munguva pfupi
995,kuhola,cueillire,1.0,postive,Verbe,pick,vuna,kies,topa,khetha,nhonga
996,difikapamuaba,arrivee,1.0,postive,Verbe,arrival,ukufika,aankoms,go fihla,ukufika,kusvika
997,babi,prudent,1.0,postive,Mot,careful,-nakayo,versigtig,hlokomela,ngononophelo,chenjera
998,bimpa,bien,1.0,postive,Mot,GOOD,Kuhle ngokuncomekayo,GOED,GABOTSE,KULUNGILE,KUGONA
999,kuseka,rire,1.0,postive,Mot,laugh,gigitheka,lag,sega,hleka,kuseka
1000,kuabulula,repeter,1.0,postive,Verbe,repeat,phinda,herhaal,bušeletša,phinda,dzokorora
1001,kutangila,regarder,1.0,postive,Verbe,look,bheka,kyk,lebelela,jonga,tarisa
1002,kuenza,faire,1.0,postive,Verbe,TO DO,OKUZO KWENZIWA,OM TE DOEN,go dira .,UKWENZA,Kuita
1003,kujulacintu,soulever,1.0,postive,Verbe,raise,phakamisa,verhoog,godiša,phakamisa,simudza
1004,kujuka,reveiller,1.0,postive,Verbe,wake,phaphama,wakker word,tsoga,vuka,Wake
1005,kushala,rester,1.0,postive,Verbe,stay,hlala,bly,dula,hlala,gara
1006,kuhikila,causer,1.0,postive,Verbe,cause,dala,oorsaak,hlola,unobangela,chikonzero
1007,kutumamuntu,deleguer,1.0,postive,Verbe,delegate,inxusa,delegeer,Moemedi .,umthunywa,nhume
1008,malanda,relation,1.0,postive,Mot,relationship,ukuzalana,verhouding,kamano,ubudlelwane,hukama
1009,bobumua,union,1.0,postive,Mot,union,inyunyana,vakbond,Union .,umanyano,Union
1010,kutumacintu,envoyer,1.0,postive,Verbe,send,thumela,stuur,romela,thumela,Tumira
1011,kulaya,promesse,1.0,postive,Verbe,promise,thembisa,belofte,tshephišo,isithembiso,Vimbiso
1012,kurujamolayi,accomplire,1.0,postive,Verbe,accomplish,feza,bereik,fihlelela,phumeza,Zadzisa
1013,kusabakena,rencontrer,1.0,postive,Mot,meet,hlangana,ontmoet,kopana,dibana,kusangana
1014,kulondabualu,ranconter,1.0,postive,Mot,to tell,Ukutshela,te vertel,go bolela .,ukuxela,kutaura
1015,butuku,nuit,1.0,postive,Mot,night,ubusuku,nag,bošego,busuku,husiku
1016,mudinda,matin,1.0,postive,Mot,Morning,Ekuseni,Oggend,Mesong,Ntseni,Mangwanani
1017,kukubaja,ajoutre,1.0,postive,Verbe,add,enezelela,byvoeg,hlakanya,yongeza,wedzera
1018,kukeresha,diminuer,1.0,postive,Verbe,decrease,nciphisa,afneem,fokotša,ukwehla,kuderera
1019,kuhishisha,depasser,1.0,postive,Verbe,exceed,dlula,oorskry,fetiša,gqitha,pfuura
1020,kuvudija,augmenter,1.0,postive,Verbe,increase,ukukhula,verhoog,oketša,Nyusa,kuwedzera
1021,cihidi,niveau,1.0,postive,Mot,level,-lingene,vlak,kelo,inqanaba,level
1022,kufilamuenenu,commenter,1.0,postive,Verbe,comment,ukubeka umbono,kommentaar lewer,swayaswaya,uluvo,kutaura
1023,kukudimuna,interpreter,1.0,postive,Verbe,interpret,humusha,interpreteer,hlatholla,tolika,kududzira
1024,bimpabikola,superbe,1.0,postive,Mot,stunning,isimanga,verstommend,tumišegago,ukumangalisa,zvinoshamisa
1025,disama,maladie,1.0,postive,Mot,disease,isifo,siekte,bolwetši,isifo,chirwere
1026,lukosu,toux,1.0,postive,Mot,cough,khwehlela,hoes,gohlola,ukukhohlela,kukosora
1027,difu,ventre,1.0,postive,Mot,belly,isisu,maag,mpa,isisu,dumbu
1028,bualubudibuezeka,evenement,1.0,postive,Mot,event,isigigaba,gebeurtenis,tiragalo,umcimbi,chiitiko
1029,kubanga,debut,1.0,postive,Mot,beginning,ukuqala,begin,mathomong,ukuqala,kutanga
1030,kukanga,fermer,1.0,postive,Verbe,close,ngokuminyanisa,naby,tswalela,vala,Vhara
1031,dibanjidibua,investutire,1.0,postive,Verbe,invest,tshala imali,belê,beeletša,tyala imali,invest
1032,dilongeshibua,farmation,1.0,postive,Mot,farming,ukulima,boerdery,Bolemirui .,ukulima,kurima
1033,kukonkola,toquer,1.0,postive,Verbe,knock,dukluza,klop,Knock .,nkqonkqoza,gogodza
1034,kukalaba,ramper,1.0,postive,Verbe,crawl,gaqa,kruip,gogoba,crawl,kukambaira
1035,kuitaba,decrocher,1.0,postive,Verbe,pick up,Phakamisa,optel,topa,Phakamisa,nhonga
1036,cidicihitakudifuma,resement,1.0,postive,Mot,resement,indawo,resement,Sefofane sa go tsošološa .,ukuphindaphinda,Kuonekwa
1037,bualubuenyi,nouvelle,1.0,postive,Mot,new,-kwanamuhla,nuut,mpsha,intsha,Nyowani
1038,kujingulula,decouvere,1.0,postive,Verbe,discover,thola,ontdek,utolla,fumanisa,tsvaga
1039,kuibaka,construiction,1.0,postive,Mot,construction,ukwakha,konstruksie,kago,ukwakhiwa,Kuvaka
1040,mushimi,source,1.0,postive,Mot,source,umthombo,bron,mothopo,umthombo,Kunobva
1041,difutu,salaire,1.0,postive,Mot,salary,umholo,salaris,mogolo,umvuzo,muhoro
1042,manayi,amisement,1.0,postive,Mot,friendship,ubudlelwane,vriendskap,segwera,ubuhlobo,Hushamwari
1043,difucila,location,1.0,postive,Mot,rental,ukuqashwa,huur,Khiriso ya khiro .,irente,Rental
1044,kuyobola,provoquer,1.0,postive,Verbe,to provoke,ukucasula,uit te lok,Go hlohleletša .,ukucaphukisa,kumutsa
1045,biamushindu,different,1.0,postive,Mot,different,-ahlukile,anders,fapanego,eyahlukileyo,zvakasiyana
1046,kujamaja,tremousser,1.0,postive,Verbe,jiggle,jithaka isibindi,skud,jiggle .,jiggle,jiggle
1047,kunyunga,mouvement,1.0,postive,Mot,movement,ukuzamazama,beweging,mosepelo,intshukumo,kufamba
1048,tulu,someil,1.0,postive,Mot,sleep,ukulala,slaap,robala,ukulala,Kurara
1049,citanaji,divertisement,1.0,postive,Mot,entertainment,umdlalo,vermaak,boithabišo,ukuzonwabisa,Varaidzo
1050,nyungilukilu,environnement,1.0,postive,Mot,environment,indawo ezungezile,omgewing,tikologo,okusingqongileyo,Nzvimbo
1051,cidicienzeka,foctionnement,1.0,postive,Mot,operation,ukuhlinza,operasie,opareišene,ukusebenza,kuvhiya
1052,cilenga,beau,1.0,postive,Mot,beautiful,-bukekayo,pragtig,botse,entle,runako
1053,lupeepepele,vent,1.0,postive,Mot,wind,songa,wind,phefo,umoya,mhepo
1054,cinwinu,verre,1.0,postive,Mot,glass,ekhanyayo,glas,galase,iglasi,girazi
1055,cisalu,vaccin,1.0,postive,Mot,vaccine,umuthi wokugcaba,entstof,moento,isitofu sokugonya,vaccine
1056,mikadila,libre,1.0,postive,Verbe,free,khululekile,gratis,lokologile,simahla,Yemahara
1057,kapepelelupepele,Air,1.0,postive,Mot,Air,Umoya,Lug,Moya,Umoya,Mhepo
1058,Mutshi,Arbre,1.0,postive,Mot,TREE,Isihlahla,BOOM,MOHLARE,Umthi,Muti
1059,Mujiluwamashimakunze,Artère,1.0,postive,Mot,Artery,Umthambo wegazi,slagaar,mothapo wa mothapo .,Ubugcisa,Artery
1060,MuediMuevu,Barbe,1.0,postive,Mot,Beard,Intshebe,Baard,Ditedu,Iindevu,Ndebvu
1061,Mutshi,Bois,1.0,postive,Mot,Drink,Phuza,Drink,Nwa,Isiselo,Kunwa
1062,Mukana,Bouche,1.0,postive,Mot,Mouth,Umlomo,Mond,Molomo,Umlomo,Muromo
1063,Ditamba,Branche,1.0,postive,Mot,Branch,Igatsha,Tak,Lekala,Isebe,Bazi
1064,Diboko,Bras,1.0,postive,Mot,Arm,Hlomisa,Arm,Letsogo,Ingalo,Ruoko
1065,DitshimaDifuima,Brouillard,1.0,postive,Mot,Fog,Inkungu,Mis,Kgodi,Inkungu,Fog
1066,Bongabwamuntu,Cerveau,1.0,postive,Mot,Brain,Ingqondo,Brein,Bjoko,Ingqondo,Uropi
1067,KadilKapia,Chaleur,1.0,postive,Mot,Heat,Ukushisa,Verhit,Phišo,Ubushushu,Kupisa
1068,Lusukikasuki,Cheveu,1.0,postive,Mot,Hair,Uboya,Hare,Moriri,Iinwele,Bvudzi
1069,Kampombekampombo,Cheville,1.0,postive,Mot,Ankle,Isinqe,Enkel,Kokoilane,I-ankle,Ankle
1070,Diulu,Ciel,1.0,postive,Mot,Sky,Isibhakabhaka,Hemel,Lefaufau,Isibhakabhaka,Denga
1071,Lukofi,Cil,1.0,postive,Mot,Eyelash,Ukhophe,Wimper,Eyelash .,Iliso,Eyelash
1072,Muoyo,Cœur,1.0,postive,Mot,Heart,Inhliziyo,Hart,Pelo,Intliziyo,Moyo
1073,MubidiMbidi,Corps,1.0,postive,Mot,Body,Umzimba,Liggaam,Mmele,Umzimba,Muviri
1074,LubadiLubaleLubanji,Côte,1.0,postive,Mot,Side,Usebe,Kant,Lehlakore,Icala,Padivi
1075,Nshingu,Cou,1.0,postive,Mot,Neck,Intamo,Nek,Molala,Intamo,Mutsipa
1076,Lukenyibu,Coude,1.0,postive,Mot,Elbow,Indololwane,Elmboog,Setšu,Lbow,Elbow
1077,DikaluDilangi,Couleur,1.0,postive,Mot,Color,Umbala,Kleur,Mmala,Umbala,Ruvara
1078,TshibalubaluKabalubalu,Crâne,1.0,postive,Mot,Skull,Ithambo lekhanda,Skedel,Lehata .,Skill,Dehenya
1079,TshibeluTshioko,Cuisse,1.0,postive,Mot,Thigh,Ithanga,Bobeen,Serope,Ithanga,Chidya
